set output "plot4.txt"

set xlabel 'Time (s)'
set ylabel 'rxPower (dBm)'
set key center right
splot "-"  title "txPower 20dBm", -94.0 title "-94 dBm CSThreshold"
0.821 19.7297 26.3509
0.822 3.9856 16.7998
0.823 22.8948 24.6821
0.824 21.163 3.83165
0.825 23.1354 16.8848
0.826 11.4021 17.7914
0.827 16.6894 12.9126
0.828 23.1415 21.747
0.829 19.1598 21.7034
0.83 16.6512 22.9701
0.831 17.3576 18.1422
0.832 16.9173 15.6771
0.833 21.9907 18.9456
0.834 22.8059 20.1392
0.835 25.3052 22.3481
0.836 11.1606 19.3219
0.837 26.0214 14.1357
0.838 25.3489 20.0849
0.839 8.72465 18.7516
0.84 18.1181 9.54604
0.841 16.945 12.5999
0.842 18.4619 18.7347
0.843 8.4579 22.8436
0.844 22.3409 19.9453
0.845 18.1829 0.984053
0.846 20.4588 24.0872
0.847 21.6425 19.7348
0.848 24.1951 23.4209
0.849 9.60757 15.146
0.85 14.7316 19.6839
0.851 14.1318 25.6279
0.852 16.5466 19.2448
0.853 18.3739 20.8133
0.854 24.0121 12.4321
0.855 8.19766 21.6267
0.856 22.2494 15.6929
0.857 12.3778 18.4923
0.858 22.1328 17.3147
0.859 4.98094 23.9717
0.86 22.0647 19.9765
0.861 25.5532 14.536
0.862 19.7563 18.6637
0.863 18.1857 -2.22673
0.864 18.3564 7.7173
0.865 17.5512 21.765
0.866 17.4853 22.4852
0.867 22.0858 14.6871
0.868 6.67803 6.64931
0.869 18.4524 18.5982
0.87 13.959 17.3296
0.871 14.0098 21.3722
0.872 16.2465 15.0206
0.873 12.7485 16.4247
0.874 21.6182 17.9366
0.875 23.9834 17.5747
0.876 22.2107 22.2685
0.877 7.62523 23.4978
0.878 13.6032 20.7632
0.879 22.6012 17.6506
0.88 0.723369 21.1177
0.881 13.8887 23.259
0.882 18.4944 4.99407
0.883 17.1046 15.2567
0.884 24.9343 23.2976
0.885 10.6332 17.3074
0.886 10.1453 16.9977
0.887 17.6736 14.8103
0.888 19.5901 12.0601
0.889 15.7239 18.4209
0.89 23.4315 17.1587
0.891 16.2787 14.6441
0.892 26.1343 22.1157
0.893 15.5212 16.1565
0.894 16.8276 12.359
0.895 22.709 18.7712
0.896 20.6609 17.1477
0.897 0.339027 16.0962
0.898 6.4488 25.4806
0.899 19.2239 26.1281
0.9 19.99 21.7709
0.901 11.7014 12.4625
0.902 16.7539 17.6082
0.903 22.7256 18.1372
0.904 18.9421 20.6044
0.905 13.0061 19.8992
0.906 20.9708 18.0361
0.907 1.90129 23.9482
0.908 21.1869 5.25437
0.909 9.64513 17.898
0.91 21.8269 20.1882
0.911 14.8179 17.3613
0.912 14.8168 18.6509
0.913 22.3149 19.0684
0.914 22.6716 11.3487
0.915 20.9057 20.633
0.916 20.6781 18.1416
0.917 18.333 15.2383
0.918 14.3603 13.338
0.919 20.2716 4.51888
0.92 16.5803 18.4534
0.921 9.80554 25.3456
0.922 14.4291 16.715
0.923 27.1928 17.892
0.924 18.3339 15.7649
0.925 18.9469 0.808206
0.926 15.9496 19.9534
0.927 22.4793 16.0691
0.928 7.43857 25.974
0.929 21.0479 16.0775
0.93 18.0846 19.6554
0.931 20.6396 18.5794
0.932 12.3476 23.34
0.933 15.7125 20.0945
0.934 17.26 25.8653
0.935 18.723 23.8731
0.936 23.2079 21.8274
0.937 21.6532 26.0548
0.938 26.3119 21.5283
0.939 16.5156 26.0198
0.94 22.551 19.0759
0.941 22.8315 21.2628
0.942 21.0243 22.379
0.943 22.7333 16.9719
0.944 17.6332 18.6327
0.945 22.7194 5.26116
0.946 17.8588 6.41515
0.947 19.7419 20.0519
0.948 23.3909 5.72564
0.949 17.9185 20.9901
0.95 14.7947 14.8445
0.951 21.8192 27.0661
0.952 18.2503 21.7319
0.953 20.6182 18.6092
0.954 13.8529 22.4277
0.955 13.2305 23.4454
0.956 27.4846 18.9203
0.957 21.9089 4.13409
0.958 19.1157 18.629
0.959 17.4153 17.1835
0.96 23.973 21.6639
0.961 21.9304 16.5992
0.962 23.5425 10.7658
0.963 13.0484 18.0306
0.964 17.5956 24.2667
0.965 19.5025 22.9594
0.966 17.5537 15.6673
